"","site_name","transect","species","family","size_cm","abundance","fg","fishing_ground","size_5cm_bin"
"61","Belanda Port",1,"chlorurus sordidus","Scarini-Labridae",16,1,"Excavator/scraper","tomia","15-20"
"62","Belanda Port",3,"chlorurus bleekeri","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"63","Belanda Port",3,"chlorurus bleekeri","Scarini-Labridae",25,1,"Excavator/scraper","tomia","25-30"
"64","Belanda Port",3,"chlorurus bleekeri","Scarini-Labridae",28,2,"Excavator/scraper","tomia","25-30"
"65","Belanda Port",3,"chlorurus sordidus","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"66","Belanda Port",3,"chlorurus sordidus","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"67","Belanda Port",3,"chlorurus spp.","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"68","Belanda Port",3,"paracirrhites forsteri","Cirrhitidae",10,1,"Micro-invertivore","tomia","10-15"
"69","Belanda Port",2,"scarus niger","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"70","Belanda Port",2,"siganus puellus","Siganidae",24,2,"Grazer","tomia","20-25"
"71","Belanda Port",2,"siganus vulpinus","Siganidae",21,2,"Grazer","tomia","20-25"
"72","Belanda Port",2,"zanclus cornutus","Zanclidae",15,1,"Micro-invertivore","tomia","15-20"
"73","Belanda Port",2,"zanclus cornutus","Zanclidae",15,1,"Micro-invertivore","tomia","15-20"
"74","Belanda Port",2,"zebrasoma scopas","Acanthuridae",16,1,"Grazer","tomia","15-20"
"75","Belanda Port",2,"zebrasoma scopas","Acanthuridae",16,2,"Grazer","tomia","15-20"
"76","Belanda Port",3,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia","20-25"
"77","Belanda Port",3,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia","20-25"
"78","Belanda Port",3,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"79","Belanda Port",3,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"80","Belanda Port",3,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"81","Belanda Port",2,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"82","Belanda Port",2,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"83","Belanda Port",2,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"84","Belanda Port",2,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"85","Belanda Port",2,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"86","Belanda Port",2,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"87","Belanda Port",2,"epibulus brevis","Labridae",16,1,"Pisci-invertivore","tomia","15-20"
"88","Belanda Port",2,"epinephelus merra","Serranidae",25,1,"Piscivore","tomia","25-30"
"89","Belanda Port",2,"forcipiger flavissimus","Chaetodontidae",20,1,"Micro-invertivore","tomia","20-25"
"90","Belanda Port",2,"forcipiger flavissimus","Chaetodontidae",20,2,"Micro-invertivore","tomia","20-25"
"91","Belanda Port",2,"halichoeres hortulanus","Labridae",21,1,"Micro-invertivore","tomia","20-25"
"92","Belanda Port",2,"halichoeres hortulanus","Labridae",23,1,"Micro-invertivore","tomia","20-25"
"93","Belanda Port",3,"scarus flavipectoralis","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"94","Belanda Port",3,"scarus niger","Scarini-Labridae",11,1,"Excavator/scraper","tomia","10-15"
"95","Belanda Port",3,"scarus psittacus","Scarini-Labridae",17,1,"Excavator/scraper","tomia","15-20"
"96","Belanda Port",3,"scarus spp.","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"97","Belanda Port",2,"parupeneus crassilabris","Mullidae",24,1,"Macro-invertivore","tomia","20-25"
"98","Belanda Port",2,"parupeneus crassilabris","Mullidae",23,1,"Macro-invertivore","tomia","20-25"
"99","Belanda Port",2,"parupeneus cyclostomus","Mullidae",26,1,"Pisci-invertivore","tomia","25-30"
"100","Belanda Port",2,"parupeneus multifasciatus","Mullidae",24,1,"Macro-invertivore","tomia","20-25"
"101","Belanda Port",2,"parupeneus multifasciatus","Mullidae",29,2,"Macro-invertivore","tomia","25-30"
"102","Belanda Port",3,"chaetodon spp.","Chaetodontidae",12,2,"Micro-invertivore","tomia","10-15"
"103","Belanda Port",3,"cheilinus fasciatus","Labridae",38,1,"Macro-invertivore","tomia","35-40"
"104","Belanda Port",3,"cheilinus fasciatus","Labridae",22,1,"Macro-invertivore","tomia","20-25"
"105","Belanda Port",3,"cheilinus fasciatus","Labridae",35,1,"Macro-invertivore","tomia","35-40"
"106","Belanda Port",3,"cheilinus trilobatus","Labridae",30,1,"Macro-invertivore","tomia","30-35"
"107","Belanda Port",3,"ctenochaetus binotatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"108","Belanda Port",3,"ctenochaetus binotatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"109","Belanda Port",3,"ctenochaetus binotatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"110","Belanda Port",3,"ctenochaetus binotatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
